No,Tahun,Kode_Provinsi,Provinsi,PoU,Jumlah_Penduduk,Penduduk_Undernourish
1,2018,11,ACEH,8.66,5243400,454185
2,2018,12,SUMATERA UTARA,5.73,14476000,829915
3,2018,13,SUMATERA BARAT,5.45,5411800,294684
4,2018,14,RIAU,9.63,6717600,646660
5,2018,15,JAMBI,10.04,3527100,354285
6,2018,16,SUMATERA SELATAN,10.84,8391500,909295
7,2018,17,BENGKULU,8.70,1948600,169556
8,2018,18,LAMPUNG,12.10,8377700,1013397
9,2018,19,KEPULAUAN BANGKA BELITUNG,10.06,1432100,144060
10,2018,21,KEPULAUAN RIAU,4.39,2174800,95430
11,2018,31,DKI JAKARTA,1.46,10428000,152656
12,2018,32,JAWA BARAT,3.81,48475500,1848942
13,2018,33,JAWA TENGAH,11.22,34358500,3853654
14,2018,34,DI YOGYAKARTA,8.70,3818300,332322
15,2018,35,JAWA TIMUR,7.40,39521900,2925150
16,2018,36,BANTEN,2.94,12530800,368930
17,2018,51,BALI,2.73,4309200,117676
18,2018,52,NUSA TENGGARA BARAT,5.96,5077700,302743
19,2018,53,NUSA TENGGARA TIMUR,13.41,5360300,718930
20,2018,51,KALIMANTAN BARAT,18.66,4985100,930113
21,2018,52,KALIMANTAN TENGAH,8.68,2612600,226758
22,2018,53,KALIMANTAN SELATAN,2.67,4162400,111004
23,2018,54,KALIMANTAN TIMUR,10.15,3573800,362803
24,2018,55,KALIMANTAN UTARA,11.03,68280,7534
25,2018,71,SULAWESI UTARA,3.12,2474400,77209
26,2018,72,SULAWESI TENGAH,6.94,3001900,208448
27,2018,73,SULAWESI SELATAN,6.20,8748100,542519
28,2018,74,SULAWESI TENGGARA,7.09,2623600,186133
29,2018,75,GORONTALO,11.52,1166100,134367
30,2018,76,SULAWESI BARAT,10.19,1340100,136598
31,2018,81,MALUKU,34.07,1749500,596064
32,2018,82,MALUKU UTARA,30.67,1218800,373819
33,2018,92,PAPUA BARAT,21.15,94140,19908
34,2018,91,PAPUA,38.32,3300200,1264621
35,2019,11,Aceh,9.47,5316300,503454
36,2019,12,Sumatera Utara,4.88,14639400,714403
37,2019,13,Sumatera Barat,4.93,5479500,270139
38,2019,14,Riau,8.39,6835100,573465
39,2019,15,Jambi,9.00,3566200,320958
40,2019,16,Sumatera Selatan,9.11,8497200,774095
41,2019,17,Bengkulu,7.70,1971800,151829
42,2019,18,Lampung,10.58,8457600,894814
43,2019,19,Kepulauan Bangka Belitung,7.90,1451100,114637
44,2019,21,Kepulauan Riau,4.12,2241600,92354
45,2019,31,DKI Jakarta,1.45,10504100,152309
46,2019,32,Jawa Barat,3.72,49023200,1823663
47,2019,33,Jawa Tengah,11.66,34552500,4028822
48,2019,34,DI Yogyakarta,7.38,3868600,285503
49,2019,35,Jawa Timur,7.50,39744800,2980860
50,2019,36,Banten,2.15,12714300,273357
51,2019,51,Bali,2.93,4362000,127807
52,2019,52,Nusa Tenggara Barat,2.79,5152400,143752
53,2019,53,Nusa Tenggara Timur,14.19,5437200,771539
54,2019,51,Kalimantan Barat,19.21,5045700,969279
55,2019,52,Kalimantan Tengah,9.43,2649800,249876
56,2019,53,Kalimantan Selatan,2.54,4216300,107094
57,2019,54,Kalimantan Timur,7.02,3619700,254103
58,2019,55,Kalimantan Utara,10.84,69560,7540
59,2019,71,Sulawesi Utara,3.99,2494100,99515
60,2019,72,Sulawesi Tengah,8.49,3042100,258274
61,2019,73,Sulawesi Selatan,7.69,8819500,678220
62,2019,74,Sulawesi Tenggara,8.86,2663700,236004
63,2019,75,Gorontalo,7.81,1176400,91877
64,2019,76,Sulawesi Barat,6.83,1359200,92833
65,2019,81,Maluku,34.24,1768500,605534
66,2019,82,Maluku Utara,35.95,1235700,444234
67,2019,92,Papua Barat,19.31,96360,18607
68,2019,91,Papua,38.35,3347100,1283613
69,2020,11,ACEH,8.58,5274871,462299
70,2020,12,Sumatera Utara,6.73,14799361,995932
71,2020,13,Sumatera Barat,5.86,5534472,324978
72,2020,14,Riau,9.16,6394087,636730
73,2020,15,Jambi,9.12,3548228,328703
74,2020,16,Sumatera Selatan,9.77,8467432,840298
75,2020,17,Bengkulu,7.72,2010670,153960
76,2020,18,Lampung,12.19,9007848,1040392
77,2020,19,Kepulauan Bangka Belitung,9.35,1455678,137426
78,2020,21,Kepulauan Riau,6.07,2064564,140187
79,2020,31,DKI Jakarta,1.94,10562088,205182
80,2020,32,Jawa Barat,3.90,48274162,1933043
81,2020,33,Jawa Tengah,11.80,36516035,4099108
82,2020,34,DI Yogyakarta,9.90,3668719,388001
83,2020,35,Jawa Timur,8.58,40665696,3428216
84,2020,36,Banten,2.11,11904562,272091
85,2020,51,Bali,4.01,4317404,177017
86,2020,52,Nusa Tenggara Barat,2.97,5320092,155209
87,2020,53,Nusa Tenggara Timur,13.12,5325566,723358
88,2020,51,Kalimantan Barat,19.92,5414390,1016896
89,2020,52,Kalimantan Tengah,10.10,2669969,271316
90,2020,53,Kalimantan Selatan,2.72,4073584,116106
91,2020,54,Kalimantan Timur,8.24,3766039,301971
92,2020,55,Kalimantan Utara,12.11,701814,8579
93,2020,71,Sulawesi Utara,4.49,2621923,112829
94,2020,72,Sulawesi Tengah,8.85,2985734,272730
95,2020,73,Sulawesi Selatan,10.14,9073509,901324
96,2020,74,Sulawesi Tenggara,10.06,2624875,271972
97,2020,75,Gorontalo,10.33,1171681,122545
98,2020,76,Sulawesi Barat,9.16,1419229,126234
99,2020,81,Maluku,35.55,1848923,635314
100,2020,82,Maluku Utara,35.48,1282937,444316
101,2020,92,Papua Barat,23.09,1134068,22767
102,2020,91,Papua,31.49,4303707,1068487
