No,Tahun,Kode Provinsi,Provinsi,Kelompok Bahan Pangan,Komoditas,Konsumsi_Pangan,
1,2018,11,Aceh,Padi-Padian,Padi-padian,118.5,
2,2018,11,Aceh,Padi-Padian,Beras,103.1,
3,2018,11,Aceh,Padi-Padian,Jagung,0.4,
4,2018,11,Aceh,Padi-Padian,Terigu,15,
5,2018,11,Aceh,Umbi-umbian,Umbi-umbian,9,
6,2018,11,Aceh,Umbi-umbian,Singkong,4.5,
7,2018,11,Aceh,Umbi-umbian,Ubi Jalar,0.7,
8,2018,11,Aceh,Umbi-umbian,Kentang,3.6,
9,2018,11,Aceh,Umbi-umbian,Sagu,0,
10,2018,11,Aceh,Umbi-umbian,Umbi Lainnya,0.2,
11,2018,11,Aceh,Pangan Hewani,Pangan Hewani,47.6,
12,2018,11,Aceh,Pangan Hewani,Daging ruminansia,2.3,
13,2018,11,Aceh,Pangan Hewani,Daging Unggas,4,
14,2018,11,Aceh,Pangan Hewani,Telur,6.8,
15,2018,11,Aceh,Pangan Hewani,Susu,1.9,
16,2018,11,Aceh,Pangan Hewani,Ikan,32.6,
17,2018,11,Aceh,Minyak dan Lemak,Minyak dan Lemak,9.7,
18,2018,11,Aceh,Minyak dan Lemak,Minyak Kelapa,0.8,
19,2018,11,Aceh,Minyak dan Lemak,Minyak Sawit,8.8,
20,2018,11,Aceh,Minyak dan Lemak,Minyak Lainnya,0.1,
21,2018,11,Aceh,Buah/biji berminyak,Buah/biji berminyak,3.3,
22,2018,11,Aceh,Buah/biji berminyak,Kelapa,3,
23,2018,11,Aceh,Buah/biji berminyak,Kemiri,0.3,
24,2018,11,Aceh,Kacang-kacangan,Kacang-kacangan,5,
25,2018,11,Aceh,Kacang-kacangan,Kedelai,4.4,
26,2018,11,Aceh,Kacang-kacangan,Kacang tanah,0.2,
27,2018,11,Aceh,Kacang-kacangan,Kacang hijau,0.3,
28,2018,11,Aceh,Kacang-kacangan,Kacang lain,0.1,
29,2018,11,Aceh,Gula,Gula,9,
30,2018,11,Aceh,Gula,Gula pasir,8.9,
31,2018,11,Aceh,Gula,Gula merah,0.1,
32,2018,11,Aceh,Sayuran dan buah,Sayuran dan buah,65.4,
33,2018,11,Aceh,Sayuran dan buah,Sayur,40.2,
34,2018,11,Aceh,Sayuran dan buah,Buah,25.2,
35,2018,12,Sumatera Utara,Padi-Padian,Padi-padian,118.7,
36,2018,12,Sumatera Utara,Padi-Padian,Beras,103.4,
37,2018,12,Sumatera Utara,Padi-Padian,Jagung,0.5,
38,2018,12,Sumatera Utara,Padi-Padian,Terigu,14.8,
39,2018,12,Sumatera Utara,Umbi-umbian,Umbi-umbian,14.6,
40,2018,12,Sumatera Utara,Umbi-umbian,Singkong,7.7,
41,2018,12,Sumatera Utara,Umbi-umbian,Ubi Jalar,1.5,
42,2018,12,Sumatera Utara,Umbi-umbian,Kentang,4.8,
43,2018,12,Sumatera Utara,Umbi-umbian,Sagu,0.1,
44,2018,12,Sumatera Utara,Umbi-umbian,Umbi Lainnya,0.5,
45,2018,12,Sumatera Utara,Pangan Hewani,Pangan Hewani,50.6,
46,2018,12,Sumatera Utara,Pangan Hewani,Daging ruminansia,4.7,
47,2018,12,Sumatera Utara,Pangan Hewani,Daging Unggas,6.2,
48,2018,12,Sumatera Utara,Pangan Hewani,Telur,7.7,
49,2018,12,Sumatera Utara,Pangan Hewani,Susu,2.6,
50,2018,12,Sumatera Utara,Pangan Hewani,Ikan,29.4,
51,2018,12,Sumatera Utara,Minyak dan Lemak,Minyak dan Lemak,10.7,
52,2018,12,Sumatera Utara,Minyak dan Lemak,Minyak Kelapa,0.8,
53,2018,12,Sumatera Utara,Minyak dan Lemak,Minyak Sawit,9.7,
54,2018,12,Sumatera Utara,Minyak dan Lemak,Minyak Lainnya,0.2,
55,2018,12,Sumatera Utara,Buah/biji berminyak,Buah/biji berminyak,3.4,
56,2018,12,Sumatera Utara,Buah/biji berminyak,Kelapa,3.2,
57,2018,12,Sumatera Utara,Buah/biji berminyak,Kemiri,0.2,
58,2018,12,Sumatera Utara,Kacang-kacangan,Kacang-kacangan,6.1,
59,2018,12,Sumatera Utara,Kacang-kacangan,Kedelai,5.2,
60,2018,12,Sumatera Utara,Kacang-kacangan,Kacang tanah,0.4,
61,2018,12,Sumatera Utara,Kacang-kacangan,Kacang hijau,0.4,
62,2018,12,Sumatera Utara,Kacang-kacangan,Kacang lain,0.1,
63,2018,12,Sumatera Utara,Gula,Gula,9.2,
64,2018,12,Sumatera Utara,Gula,Gula pasir,8.9,
65,2018,12,Sumatera Utara,Gula,Gula merah,0.3,
66,2018,12,Sumatera Utara,Sayuran dan buah,Sayuran dan buah,82.1,
67,2018,12,Sumatera Utara,Sayuran dan buah,Sayur,52.1,
68,2018,12,Sumatera Utara,Sayuran dan buah,Buah,30,
69,2018,13,Sumatera Barat,Padi-Padian,Padi-padian,117.8,
70,2018,13,Sumatera Barat,Padi-Padian,Beras,102.5,
71,2018,13,Sumatera Barat,Padi-Padian,Jagung,0.2,
